author_name,paper_title
Yoshua Bengio,Neural Machine Translation by Jointly Learning to Align and Translate
Yoshua Bengio,Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation
Yu Tian,Semantic Graph Convolutional Networks for 3D Human Pose Regression
Yuhua Chen,Learning Semantic Segmentation From Synthetic Data: A Geometrically Guided Input-Output Adaptation Approach
Yuhui Yuan,Semi-Supervised Semantic Segmentation with Cross Pseudo Supervision
Yulin Wang,Implicit Semantic Data Augmentation for Deep Networks
Yupeng Zhang,SecureML: A System for Scalable Privacy-Preserving Machine Learning
Yuxiao Dong,Open Graph Benchmark: Datasets for Machine Learning on Graphs
Z. B. Celik,Practical Black-Box Attacks against Machine Learning
Z. Ullah,MRI-Based Brain Tumor Classification Using Ensemble of Deep Features and Machine Learning Classifiers
Zheng Shao,RCFile: A fast and space-efficient data placement structure in MapReduce-based warehouse systems
Zheng Shao,Hive - a petabyte scale data warehouse using Hadoop
Zhibin Wang,A Simple Baseline for Semi-supervised Semantic Segmentation with Strong Data Augmentation*
Zhiding Yu,Unsupervised Domain Adaptation for Semantic Segmentation via Class-Balanced Self-training
Zhiqiang Lin,Discovering Semantic Data of Interest from Un-mappable Memory with Confidence
Zhiwei Xu,RCFile: A fast and space-efficient data placement structure in MapReduce-based warehouse systems
Zhourong Chen,Convolutional LSTM Network: A Machine Learning Approach for Precipitation Nowcasting
cCaugatay Demiralp,Sherlock: A Deep Learning Approach to Semantic Data Type Detection
Àgata Lapedriza,Learning Deep Features for Scene Recognition using Places Database
Çaglar Gülçehre,Learning Phrase Representations using RNN Encoder–Decoder for Statistical Machine Translation
É. Wirbel,Sparse and Dense Data with CNNs: Depth Completion and Semantic Segmentation
